MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25,
199,2.01001E+11,"노원구,0.033",0.005,0.6,0.009,28,17,NA
200,2.01001E+11,"노원구,0.037",0.002,0.6,0.009,27,14,NA
201,2.01001E+11,"노원구,0.042",0,0.7,0.008,26,21,NA
202,2.01001E+11,"노원구,0.04",0.002,0.7,0.008,39,22,NA
203,2.01001E+11,"노원구,0.034",0.008,0.6,0.008,27,23,NA
204,2.01001E+11,"노원구,0.032",0.011,0.6,0.008,28,17,NA
205,2.01001E+11,"노원구,0.033",0.01,0.6,0.008,39,24,NA
206,2.01001E+11,"노원구,0.024",0.017,0.4,0.007,25,14,NA
207,2.01001E+11,"노원구,0.025",0.015,0.4,0.007,26,17,NA
208,2.01001E+11,"노원구,0.032",0.012,0.5,0.008,25,18,NA
209,2.01001E+11,"노원구,0.032",0.012,0.5,0.008,30,23,NA
210,2.01001E+11,"노원구,0.038",0.008,0.5,0.009,37,21,NA
211,2.01001E+11,"노원구,0.047",0.004,0.6,0.009,34,20,NA
212,2.01001E+11,"노원구,0.048",0.002,0.6,0.009,38,24,NA
213,2.01001E+11,"노원구,0.043",0.003,0.5,0.007,33,20,NA
214,2.01001E+11,"노원구,0.03",0.01,0.4,0.006,28,20,NA
215,2.01001E+11,"노원구,0.032",0.007,0.4,0.007,33,25,NA
216,2.01001E+11,"노원구,0.032",0.007,0.4,0.007,36,19,NA
217,2.01001E+11,"도봉구,0.014",0.022,0.4,0.005,24,17,NA
218,2.01001E+11,"도봉구,0.014",0.024,0.4,0.005,24,14,NA
219,2.01001E+11,"도봉구,0.021",0.016,0.5,0.006,29,14,NA
220,2.01001E+11,"도봉구,0.015",0.021,0.5,0.006,29,18,NA
221,2.01001E+11,"도봉구,0.014",0.021,0.5,0.006,29,17,NA
222,2.01001E+11,"도봉구,0.02",0.017,0.5,0.005,28,18,NA
223,2.01001E+11,"도봉구,0.026",0.009,0.6,0.005,30,18,NA
224,2.01001E+11,"도봉구,0.037",0.004,0.8,0.006,31,18,NA
225,2.01001E+11,"도봉구,0.037",0.003,0.8,0.007,38,21,NA
226,2.01001E+11,"도봉구,0.037",0.004,0.9,0.007,32,26,NA
227,2.01001E+11,"도봉구,0.031",0.01,0.8,0.008,31,20,NA
228,2.01001E+11,"도봉구,0.032",0.012,0.8,0.007,30,20,NA
229,2.01001E+11,"도봉구,0.035",0.01,0.9,0.007,37,24,NA
230,2.01001E+11,"도봉구,0.031",0.014,0.8,0.006,31,22,NA
231,2.01001E+11,"도봉구,0.029",0.014,0.6,0.006,33,19,NA
232,2.01001E+11,"도봉구,0.028",0.015,0.6,0.006,21,12,NA
233,2.01001E+11,"도봉구,0.032",0.012,0.7,0.006,28,20,NA
234,2.01001E+11,"도봉구,0.04",0.007,0.8,0.006,33,19,NA
235,2.01001E+11,"도봉구,0.041",0.004,0.7,0.006,36,22,NA
236,2.01001E+11,"도봉구,0.046",0.003,0.9,0.007,31,20,NA
237,2.01001E+11,"도봉구,0.038",0.004,0.6,0.006,29,18,NA
238,2.01001E+11,"도봉구,0.037",0.003,0.6,0.006,30,24,NA
239,2.01001E+11,"도봉구,0.036",0.003,0.6,0.005,42,33,NA
240,2.01001E+11,"도봉구,0.035",0.003,0.6,0.005,36,22,NA
241,2.01001E+11,동대문구,0.019,0.012,0.4,0.005,25,16
242,2.01001E+11,동대문구,0.023,0.01,0.4,0.006,28,15
243,2.01001E+11,동대문구,0.023,0.01,0.5,0.006,26,15
244,2.01001E+11,동대문구,0.026,0.007,0.5,0.006,29,16
245,2.01001E+11,동대문구,0.032,0.004,0.6,0.006,32,20
246,2.01001E+11,동대문구,0.027,0.006,0.4,0.007,29,18
247,2.01001E+11,동대문구,0.032,0.004,0.5,0.007,31,16
248,2.01001E+11,동대문구,0.039,0.002,0.7,0.007,33,19
249,2.01001E+11,동대문구,0.04,0.003,0.7,0.007,39,18
250,2.01001E+11,동대문구,0.04,0.004,0.7,0.008,37,25
251,2.01001E+11,동대문구,0.033,0.008,0.7,0.008,31,17
252,2.01001E+11,동대문구,0.033,0.009,0.7,0.008,40,27
253,2.01001E+11,동대문구,0.025,0.013,0.5,0.007,38,23
254,2.01001E+11,동대문구,0.029,0.013,0.6,0.007,38,21
255,2.01001E+11,동대문구,0.032,0.012,0.6,0.007,45,27
256,2.01001E+11,동대문구,0.034,0.011,0.6,0.007,37,22
257,2.01001E+11,동대문구,0.037,0.009,0.6,0.007,38,25
258,2.01001E+11,동대문구,0.042,0.006,0.7,0.007,40,26
259,2.01001E+11,동대문구,0.047,0.004,0.7,0.007,37,22
260,2.01001E+11,동대문구,0.047,0.004,0.7,0.007,30,17
261,2.01001E+11,동대문구,0.046,0.004,0.7,0.007,33,23
262,2.01001E+11,동대문구,0.044,0.004,0.7,0.006,34,29
263,2.01001E+11,동대문구,0.041,0.004,0.6,0.006,43,33
264,2.01001E+11,동대문구,0.04,0.004,0.6,0.006,40,29
265,2.01001E+11,"동작구,0.037",0.005,0.5,0.005,32,21,NA
266,2.01001E+11,"동작구,0.03",0.011,0.5,0.005,31,15,NA
267,2.01001E+11,"동작구,0.023",0.018,0.4,0.005,24,14,NA
268,2.01001E+11,"동작구,0.032",0.009,0.5,0.006,27,23,NA
269,2.01001E+11,"동작구,0.036",0.005,0.5,0.005,23,14,NA
270,2.01001E+11,"동작구,0.04",0.002,0.6,0.004,32,16,NA
271,2.01001E+11,"동작구,0.035",0.005,0.5,0.005,30,13,NA
272,2.01001E+11,"동작구,0.038",0.003,0.5,0.005,31,15,NA
273,2.01001E+11,"동작구,0.038",0.004,0.5,0.006,24,15,NA
274,2.01001E+11,"동작구,0.036",0.007,0.6,0.007,24,29,NA
275,2.01001E+11,"동작구,0.031",0.013,0.6,0.007,25,14,NA
276,2.01001E+11,"동작구,0.032",0.014,0.7,0.007,25,26,NA
277,2.01001E+11,"동작구,0.028",0.017,0.6,0.007,28,22,NA
278,2.01001E+11,"동작구,0.026",0.02,0.6,0.007,29,27,NA
279,2.01001E+11,"동작구,0.027",0.019,0.5,0.007,31,19,NA
280,2.01001E+11,"동작구,0.033",0.015,0.6,0.007,34,28,NA
281,2.01001E+11,"동작구,0.042",0.009,0.7,0.007,37,20,NA
282,2.01001E+11,"동작구,0.043",0.006,0.7,0.006,35,21,NA
283,2.01001E+11,"동작구,0.048",0.002,0.7,0.006,42,17,NA
284,2.01001E+11,"동작구,0.055",0.002,0.9,0.006,44,27,NA
285,2.01001E+11,"동작구,0.053",0.002,0.9,0.006,44,28,NA
286,2.01001E+11,"동작구,0.048",0.002,0.7,0.006,42,28,NA
287,2.01001E+11,"동작구,0.043",0.001,0.6,0.005,38,29,NA
288,2.01001E+11,"동작구,0.043",0.001,0.6,0.006,36,25,NA
289,2.01001E+11,"마포구,0.029",0.006,0.5,0.005,33,20,NA
290,2.01001E+11,"마포구,0.02",0.011,0.4,0.005,28,20,NA
291,2.01001E+11,"마포구,0.021",0.01,0.5,0.005,23,13,NA
292,2.01001E+11,"마포구,0.032",0.004,0.6,0.005,30,19,NA
293,2.01001E+11,"마포구,0.03",0.005,0.5,0.006,30,19,NA
294,2.01001E+11,"마포구,0.038",0.001,0.5,0.006,33,18,NA
295,2.01001E+11,"마포구,0.041",0.001,0.6,0.006,32,23,NA
296,2.01001E+11,"마포구,0.043",0.001,0.7,0.005,33,19,NA
297,2.01001E+11,"마포구,0.042",0.001,0.7,0.006,35,19,NA
298,2.01001E+11,"마포구,0.033",0.005,0.6,0.006,28,17,NA
299,2.01001E+11,"마포구,0.031",0.007,0.7,0.006,24,12,NA
300,2.01001E+11,"마포구,0.024",0.011,0.5,0.005,27,10,NA
301,2.01001E+11,"마포구,0.031",0.008,0.6,0.005,28,20,NA
302,2.01001E+11,"마포구,0.03",0.009,0.6,0.006,36,18,NA
303,2.01001E+11,"마포구,0.032",0.009,0.6,0.006,32,21,NA
304,2.01001E+11,"마포구,0.034",0.007,0.6,0.006,38,22,NA
305,2.01001E+11,"마포구,0.037",0.006,0.6,0.006,36,21,NA
306,2.01001E+11,"마포구,0.041",0.003,0.7,0.005,41,23,NA
307,2.01001E+11,"마포구,0.045",0.001,0.7,0.005,38,24,NA
308,2.01001E+11,"마포구,0.048",0.001,0.8,0.006,36,23,NA
309,2.01001E+11,"마포구,0.047",0.001,0.8,0.006,33,21,NA
310,2.01001E+11,"마포구,0.044",0.001,0.8,0.005,34,18,NA
311,2.01001E+11,"마포구,0.043",0.001,0.8,0.005,49,34,NA
312,2.01001E+11,"마포구,0.043",0.001,0.7,0.005,42,29,NA
313,2.01001E+11,서대문구,0.027,0.02,0.5,0.007,36,10
314,2.01001E+11,서대문구,0.017,0.032,0.4,0.008,23,7
315,2.01001E+11,서대문구,0.019,0.028,0.5,0.008,38,13
316,2.01001E+11,서대문구,0.041,0.004,0.6,0.008,37,14
317,2.01001E+11,서대문구,0.036,0.01,0,0.01,37,23
318,2.01001E+11,서대문구,0.035,0.01,0,0.009,20,17
319,2.01001E+11,서대문구,0.042,0.003,0,0.008,27,27
320,2.01001E+11,서대문구,0.045,0.003,0,0.008,21,19
321,2.01001E+11,서대문구,0.045,0.003,0,0.009,29,29
322,2.01001E+11,서대문구,0.047,0.005,0,0.009,36,34
323,2.01001E+11,서대문구,0.039,0.01,0.6,0.009,29,18
324,2.01001E+11,서대문구,0.033,0.018,1.2,0.009,16,9
325,2.01001E+11,서대문구,0.039,0.015,0,0.009,24,15
326,2.01001E+11,서대문구,0.039,0.016,0.6,0.009,13,0
327,2.01001E+11,서대문구,0.041,0.015,0.7,0.009,42,0
328,2.01001E+11,서대문구,0.044,0.012,0.7,0.009,42,7160
329,2.01001E+11,서대문구,0.046,0.01,0.7,0.009,51,3580
330,2.01001E+11,서대문구,0.05,0.007,0.7,0.009,30,1790
331,2.01001E+11,서대문구,0.053,0.003,0.8,0.008,55,895
332,2.01001E+11,서대문구,0.053,0.003,0.7,0.009,38,448
